url,content
https://lu.ma/eomds5nn,"Title: F1 - Round 1 - Australia
Hosts: Taras YavorskyySimon Brzostowicz
Date and Time: Sunday, March 16 at 12:00 PM - 2:00 PM GMT+8
Location: 13th floor
Description: ​FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 202515 MarQualifying13:0016 MarRace12:00
Attendees: 13 Going"
https://lu.ma/smaxapsa,"Title: futbol
Hosts: OtavioNetwork School
Date and Time: Sunday, March 16 at 4:00 PM - 6:00 PM GMT+8
Location: beach
Description: ​beach footy kicks off 4pmsmall sided (3v3 / 4v4 / 5v5)
Attendees: 15 Going"
https://lu.ma/xxz7olsh,"Title: Chess club
Hosts: KamilNetwork School
Date and Time: Sunday, March 16 at 4:00 PM - 6:00 PM
Location: Floor 13 Ping Pong room
Description: ​Casual chess session, come to play, learn and have fun!
Attendees: 5 Going"
https://lu.ma/b7qimbz8,"Title: Half Baked - Pitch Training
Hosts: Christoph RichterMarine PopoffNetwork School
Date and Time: Sunday, March 16 at 4:30 PM - 6:00 PM GMT+8
Location: 13th floor dinner space
Description: ​Ever tried to sell the world on ""ASTRONAUT CHICKEN"" with only 120 seconds on the clock? Welcome to HALF BAKED – where random words become billion-dollar ideas (or hilariously epic failures)!​HOW IT WORKS:​🎲 The audience shouts out two completely random words​🧠 You have 30 seconds to concoct a business plan​⏱️ Then just 2 minutes to pitch your improvised startup​👑 The crowd votes on which ridiculous concepts based on how well the pitch is structured - and how well thought through the idea is.​STAGE FRIGHT? PERFECT!​Terrified of public speaking? THIS IS YOUR EVENT! There's no better way to conquer stage fright than pitching a ""MUSICAL CACTUS"" to a room of laughing supporters. With zero preparation possible and everyone in the same chaotic boat, the pressure disappears. No judgment, just fun times and the sweet rush of surviving your two minutes in the spotlight!​WHAT TO EXPECT:​🎭 Zero preparation (seriously, you can't plan for ""MEDIEVAL BLOCKCHAIN"")​🔥 Quick-fire thinking that impresses potential investors and teammates​🤣 Guaranteed laughs and networking that doesn't feel like ""networking""​🍕 Free pizza (because your brain needs fuel for this madness)​😌 A supportive crowd that cheers for effort, not perfection​Whether you're a seasoned entrepreneur or just curious about startup culture, HALF BAKED shows what happens when creativity meets pressure in the startup world.​Come for the chaos, stay for the connections. Who knows? Your ""TELEPATHIC UMBRELLA"" pitch might just be crazy enough to work!
Attendees: 6 Going"
https://lu.ma/9h43aped,"Title: karaoke
Hosts: AdamNetwork School
Date and Time: Sunday, March 16 at 6:00 PM - 7:30 PM GMT+8
Location: ping pong room
Description: No description
Attendees: 4 Going"
https://lu.ma/099ndpec,"Title: Deep Dive: Authentic Relating & Attraction
Hosts: Violeta M. Valcheva
Date and Time: Sunday, March 16 at 7:30 PM - 8:30 PM
Location: room 1215
Description: ​Practical exercises on cultivatingauthentic connections—both in your personal and professional life.💡What to expect?💫Authentic Relating Games– Guided exercises to foster connection & self-awareness​💫Nonviolent Communication (NVC)– Learn how to express yourself clearly & listen deeply​💫Magnetic Presence Training– Explore your natural ability to attract the right people.💡Why Join?​✨ Improve your ability to communicate with confidence and clarity​✨ Cultivatedeep listening and emotional intelligencefor stronger connections​✨ Learn tonavigate difficult conversations with easeusing Nonviolent CommunicationWalk away feelingseen, heard, and deeply connectedto yourself and others.❤️ Come as you are. ❤️
Attendees: 14 Going"
https://lu.ma/ely7spx0,"Title: Daily Mental Reset (Evening) - Aum (Om) Chants
Hosts: KritikaNetwork School
Date and Time: Sunday, March 16 at 8:00 PM - 8:30 PM
Location: VIP Lounge 7 - 13th floor
Description: ​This exercise is intended to bring the body to a peaceful state​Process -​Deep inhaling and exhaling - 3 rounds​Aum Chants - 21 rounds​Meditation - 6 mins​​Reasoning -​The sounds aa, oo, and mm activate three different chakras in the body (aligned to areas near the stomach, heart and throat) - which inturn allows energy to flow within and through the body seamlessly. Immediately after, sitting in silence while focusing on the area between the eyes, allows us to feel the difference in energy flow and reset accordingly.​Helps with feeling grounded and at ease, while going through regular daily activities.​​Looking forward to seeing you :)​​PS - Luma doesn't allow recurring events - I'll keep updating dates on the same page for now​Cheers!
Attendees: 9 Going"
https://lu.ma/9en0c2ld,"Title: Vipassana meditation (30m)
Hosts: Andronik
Date and Time: Sunday, March 16 at 8:30 PM - 9:00 PM
Location: VIP Room 8, 13th Floor
Description: ​A gentle introduction to Vipassana meditation. We will try to meditate for 30mins.
Attendees: 1 Going"
https://lu.ma/mx92ze6l,"Title: Pitch Perfect: Mastering the Art of Selling Your Next Big Idea 🎤
Hosts: SHAHROUZ MORTEZAEI
Date and Time: Monday, March 17 at 11:00 AM - 12:00 PM
Location: Ping Pong Room
Description: ​Get Ready to Elevate Your Speaking Game!​Want to become a more confident, engaging speaker? Join us forPresentation Practice—where you canpolish your speech, master impromptu talks, and get expert feedbackin a fun, supportive environment!​What’s in store?✅Prepare & Deliver– Craft powerful speeches with impact!✅Table Topics Challenge– Think fast, speak smart!✅Feedback & Growth– Get constructive tips to level up!✅Own the Stage– Perfect your voice, gestures, and confidence!Agenda:1. Presentation on presentation best practices (5 min)2. Volunteer longer form presentations (2x5 min) Note: reach out to me in advance to secure your spot3. Audience Table Topics (Reaminder of the time) -Random topic and speak for 1 to 2 minutes wihtout prior preparation​Come sharpen your public speaking skills, meet awesome people, and have a blast while doing it!
Attendees: 7 Going"
https://lu.ma/y4lrji3p,"Title: Overview about recent US market
Hosts: LuckyNetwork School
Date and Time: Monday, March 17 at 1:00 PM - 1:30 PM GMT+8
Location: Ping Pong Room
Description: ​This event aims to share some analysis of the recent market drawdown from the macroeconomic perspective.​Content will include:-Timeline & impact of tariffs-Why tariffs-What’s coming next-Current market characteristics-Some highly uncertain conclusion​Welcome to join!
Attendees: 10 Going"
https://lu.ma/028ii5j9,"Title: Atomic Scaling: Entrepreneurship 101 - #2 Make The Offer
Hosts: JohnNetwork SchoolLudovicBodin
Date and Time: Monday, March 17 at 4:30 PM - 6:00 PM
Location: Library
Description: ​Learn or level up your entrepreneurial skills to make revenue fast!In this session, we will do a quick recap of the past session (how to find an idea, the best way to validate the idea) and then review new content: how to put together your offer to make money.This will be in the library.Come prepared to learn or level up your business skills. See you all there!
Attendees: 9 Going"
https://lu.ma/6ict0uvn,"Title: Vipassana meditation (30m)
Hosts: Andronik
Date and Time: Monday, March 17 at 8:30 PM - 9:00 PM
Location: VIP Room 8, 13th Floor
Description: ​A gentle introduction to Vipassana meditation. We will try to meditate for 30mins.
Attendees: 1 Going"
https://lu.ma/w9v45vw3,"Title: Game Theory & Tokenomics - PART 1
Hosts: 0xStef
Date and Time: Tuesday, March 18 at 1:00 PM - 2:00 PM
Location: Ping Pong Room
Description: ​""Show me the incentives, and I'll show you the outcome"" is a well-known quote attributed to Charlie Munger.​Join us and discover how game theory drives the world and how you can harness it.​PART 1 (Theory)​You willlearn how incentive systems shape everythingfrom tax schemes to corporate shares and points-based rewards, and connect the dots to your favorite cryptocurrencies (BTC, ETH, SOL, USDC, NS Points). Learn how to design a token, engineer its supply, and even build demand for it, the most challenging part.​PART 2 (Light Workshop)​In a follow-up event, you'llprototype your own mini incentive model, present it to others, and discuss pros/cons of the showcased models.​PART 3 (Heavy Workshop)​And if there is appetite, we may expand the series with another event where you'll be building your own token/contract, deployed onchain. 🔗
Attendees: 24 Going"
https://lu.ma/a38e87al,"Title: NS Book Club
Hosts: Network School
Date and Time: Tuesday, March 18 at 4:00 PM - 6:00 PM
Location: NS Cafe
Description: ​The first week's curriculum is three books on self-improvement.​Atomic Habits is James Clear’s guide to programming yourself to get good habits.​The Navalmanack is my friend Naval’s guide to building wealth and happiness.​And Tools of Titans is Tim Ferriss’s collection of heuristics from successful people.​See the full reading list atns.com/learn.
Attendees: Unknown attendance"
